antecedentes,consequências,confiança,lift,convicção
Animais Na Pista,Atropelamento De Animal,0.8071292170591979,15.796761971404099,4.919902261079415
Atropelamento De Animal,Animais Na Pista,0.9913995308835027,15.796761971404099,108.97548955518765
Animais Na Pista,Simples,0.8064926798217695,1.8979152732253959,2.971794129829607
Assu,BR 304,0.9966329966329965,4.850810260882203,235.9792665388236
Assu,Rural,0.8619528619528619,3.294107487084586,5.348426209573696
Assu,Simples,0.98989898989899,2.3295244444064602,56.93132790028789
Atropelamento De Animal,Céu Claro,0.8068803752931978,1.1908395468627633,1.669572906194241
Atropelamento De Animal,Simples,0.8146989835809225,1.917227127667355,3.1034040141698784
Atropelamento De Pessoa,Com Vítimas Feridas,0.8231292517006803,2.228002965892239,3.565049044914817
Atropelamento De Pessoa,Urbano,0.8656462585034014,1.172430318301977,1.9475830430719565
Dupla,BR 101,0.8234939239851762,1.4711461536680652,2.4941719130762614
Extremoz,BR 101,0.9922779922779923,1.772673615665337,57.010626398210405
Goianinha,BR 101,1.0,1.786468741079075,inf
Múltipla,BR 101,0.96310888252149,1.720563912880241,11.933400974907455
Natal,BR 101,0.9274891774891775,1.6569304232735576,6.0713212461184
Parnamirim,BR 101,0.9631617467675042,1.7206583532032662,11.950525843476623
Sao Jose De Mipibu,BR 101,0.9987179487179488,1.7841783965392304,343.3844678811431
BR 101,Urbano,0.8904510419640308,1.2060258891052709,2.388567389441839
BR 110,Mossoro,0.8954443614637789,5.456368854956502,7.9946913664794765
BR 110,Urbano,0.8364451082897685,1.1328803133161716,1.5998608539060866
Santa Cruz,BR 226,1.0,13.52350081037277,inf
BR 226,Simples,0.9011345218800648,2.120635456585671,5.816630123278269
Macaiba,BR 304,0.8401611820013432,4.089230936779627,4.9709012799750765
BR 406,Simples,0.902555910543131,2.1239804035645067,5.901475619403885
Caico,BR 427,1.0,39.859872611464965,inf
BR 427,Céu Claro,0.8121019108280254,1.1985457833764006,1.7159689834300225
BR 427,Simples,0.9713375796178344,2.285843968505559,20.063341145555917
Caico,Simples,0.957095709570957,2.2523286454808873,13.403412862305457
Ceara-Mirim,Simples,0.9639468690702089,2.2684514455735143,15.950457099123716
Colisão Frontal,Simples,0.8128964059196617,1.9129851304861307,3.0735054610324775
Colisão Lateral,Urbano,0.8392085512849671,1.1366231173988364,1.627356870052161
Não Guardar Distância De Segurança,Colisão Traseira,0.8574842494025635,2.0660839090427348,4.10460762662816
Colisão Traseira,Urbano,0.8503224564443161,1.1516757780388551,1.7481918963662206
Queda De Ocupante De Veículo,Com Vítimas Feridas,0.9183222958057397,2.4856664909828368,7.720012438133256
Currais Novos,Céu Claro,0.8210227272727273,1.2117116272089445,1.8014985263307413
Currais Novos,Simples,0.8380681818181818,1.972221747416821,3.5512719158074146
Desobediência Às Normas De Trânsito,Urbano,0.8309201307800094,1.1253972899948703,1.5475826301450166
Dupla,Urbano,0.9038179781091097,1.2241300523767575,2.7205195271199805
Falta De Atenção,Urbano,0.8114337270341208,1.0990049266918143,1.3876557275934303
Múltipla,Urbano,0.9863896848137536,1.3359650790097326,19.225496627474683
Natal,Urbano,0.9783549783549782,1.3250828816243811,12.088926174496555
Não Guardar Distância De Segurança,Urbano,0.8546600043449925,1.157550548033971,1.8003651887616738
Parnamirim,Urbano,0.9487679921932177,1.2850103008646587,5.107452936431829
Sol,Pleno Dia,0.9761967041590374,1.6028964184000671,16.425437418126748
Rural,Simples,0.8238167938931298,1.9386840260160596,3.2640109740987344
Santa Cruz,Simples,1.0,2.3532951020024444,inf
Sao Goncalo Do Amarante,Urbano,0.8575851393188855,1.1615123475506082,1.8373438520432976
"Dupla,Abril",BR 101,0.8328236493374108,1.4878134163726853,2.6333658770432384
"Abril,Natal",BR 101,0.9271317829457364,1.656291949093468,6.041543420166864
"Parnamirim,Abril",BR 101,0.9740634005763689,1.7401338169588685,16.973562728596278
"BR 101,Abril",Urbano,0.8862126245847176,1.200285381376726,2.299596662257711
"Colisão Lateral,Abril",Urbano,0.8203883495145631,1.11113305730162,1.4568379501265403
"Abril,Não Guardar Distância De Segurança",Colisão Traseira,0.8284424379232506,1.9961084903354325,3.409766551445729
"Abril,Colisão Traseira",Urbano,0.8312710911136107,1.1258726302757225,1.5508016405667404
"Dupla,Abril",Urbano,0.8909276248725789,1.206671372460253,2.3990040411824247
