antecedentes,consequências,confiança,lift,convicção
Quinta-feira,Masculino,0.836898395721925,1.004940468809016,1.0252256478542774
Segunda-feira,Masculino,0.8306367432150312,0.9974215297861148,0.9873212825870862
Sem Vítimas,Masculino,0.8530566850867132,1.0243432051177583,1.1379622680401469
Setembro,Masculino,0.8291894579811039,0.9956836419983999,0.9789556659422282
Sexta-feira,Masculino,0.8359439406430338,1.0037943672758536,1.0192610292328164
Simples,Masculino,0.8483681524983152,1.0187132551005325,1.102775905373068
Sábado,Masculino,0.8433782712133228,1.01272144813391,1.0676420775549844
Terça-feira,Masculino,0.8267067955013464,0.9927024820283776,0.9649307853462921
Ultrapassagem Indevida,Masculino,0.832182320441989,0.9992774457622706,0.9964143727434774
Velocidade Incompatível,Masculino,0.8211009174311927,0.9859709913663042,0.9346942729443436
adulto entre 35 e 53 anos,Masculino,0.8538530667265783,1.0252994934110662,1.1441632346757658
idoso entre 70 e 88 anos,Masculino,0.8680445151033386,1.0423404638057077,1.2672148341769467
jovem adulto entre 18 e 35 anos,Masculino,0.8164455166867712,0.9803808257852636,0.9109880886249655
pessoa de idade avançada entre 53 a 70 anos,Masculino,0.8755684919046753,1.0513751910948204,1.3438392772991257
Ultrapassagem Indevida,Simples,0.808011049723757,1.9355081282542408,3.0341999138922877
"Colisão Lateral,Abril",Condutor,0.9370370370370371,1.0452318270614207,1.6440255616735675
"Colisão Lateral,Abril",Masculino,0.8493827160493828,1.019931534375362,1.1102042443341784
"Colisão Transversal,Abril",Condutor,0.8701095461658842,0.9705765671315758,0.7969232341124473
"Colisão Transversal,Abril",Masculino,0.837245696400626,1.0053575045073224,1.027413372267377
"Abril,Colisão Traseira",Condutor,0.9580348004094167,1.068654092891291,2.4666323896871107
"Abril,Colisão Traseira",Masculino,0.8326509723643808,0.9998401990009005,0.9992047774317065
"Abril,Não Guardar Distância De Segurança",Colisão Traseira,0.8548895899053628,1.8714154395948734,3.743257033916224
"Abril,Com Vítimas Feridas",Masculino,0.8061029879211697,0.9679616052926631,0.8623956920185987
"Domingo,Abril",Condutor,0.8484349258649094,0.9463992912261465,0.6829589279754238
"Dupla,Abril",Condutor,0.9241274658573597,1.0308316548831886,1.3642976568465908
"Falta De Atenção,Abril",Condutor,0.9197860962566845,1.025989009928608,1.2904585828543864
"Masculino,Abril",Condutor,0.9393519800609249,1.0478140645085683,1.7067782370109097
"Condutor,Abril",Masculino,0.8767123287671232,1.0527487006614122,1.3563071330644976
"Múltipla,Abril",Condutor,0.9633204633204632,1.0745500637903855,2.8220836444634227
"Abril,Não Guardar Distância De Segurança",Condutor,0.9631966351209253,1.0744119377930887,2.812588492653602
"Abril,Quarta-feira",Condutor,0.9096989966555183,1.0147372054330075,1.1463075349776033
"Abril,Quinta-feira",Condutor,0.9131175468483815,1.0185504778254053,1.1914111169165211
"Segunda-feira,Abril",Condutor,0.9252077562326871,1.0320366807659764,1.3840034117957054
"Abril,Sem Vítimas",Condutor,0.9847834568864612,1.098491277523124,6.802643660748238
"Sexta-feira,Abril",Condutor,0.8674884437596302,0.967652819671532,0.78115994926548
"Simples,Abril",Condutor,0.8468715697036224,0.9446554224651242,0.6759862969238952
"Sábado,Abril",Condutor,0.8925081433224755,0.9955614137323311,0.9629819760240554
"adulto entre 35 e 53 anos,Abril",Condutor,0.9319771137952957,1.0395876608164243,1.5217337329426397
"jovem adulto entre 18 e 35 anos,Abril",Condutor,0.8934883720930233,0.9966548244175881,0.9718443195725193
"Domingo,Abril",Masculino,0.8401976935749589,1.008902237583,1.0463925812641373
"Dupla,Abril",Masculino,0.8401618614061711,1.00885921061977,1.0461580032346383
"Falta De Atenção,Abril",Masculino,0.8366553232863394,1.0046485894977153,1.0237000144497335
"Abril,Não Guardar Distância De Segurança",Masculino,0.8233438485804415,0.9886642839955583,0.9465617051450612
"Abril,Quinta-feira",Masculino,0.8534923339011924,1.0248663285053723,1.1413460630741856
"Segunda-feira,Abril",Masculino,0.8559556786703603,1.0278242919329763,1.1608645614664275
"Abril,Sem Vítimas",Masculino,0.8591494342567305,1.0316593264516645,1.187186909968459
"Sexta-feira,Abril",Masculino,0.8166409861325116,0.980615543831617,0.9119592453355282
