id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,idade,sexo
86,2017-01-01,RN,101.0,NATAL                                                       ,Ingestão de Álcool                                                                                  ,Colisão traseira                                                                                                                                                                                        ,Sem Vítimas,Pleno dia           ,Céu Claro           ,Dupla               ,Não       ,38.0,Masculino           
86,2017-01-01,RN,101.0,NATAL                                                       ,Ingestão de Álcool                                                                                  ,Colisão traseira                                                                                                                                                                                        ,Sem Vítimas,Pleno dia           ,Céu Claro           ,Dupla               ,Não       ,32.0,Masculino           
112,2017-01-01,RN,405.0,MOSSORO                                                     ,Ingestão de Álcool                                                                                  ,Colisão frontal                                                                                                                                                                                         ,Com Vítimas Fatais,Pleno dia           ,Céu Claro           ,Simples             ,Não       ,22.0,Masculino           
112,2017-01-01,RN,405.0,MOSSORO                                                     ,Ingestão de Álcool                                                                                  ,Colisão frontal                                                                                                                                                                                         ,Com Vítimas Fatais,Pleno dia           ,Céu Claro           ,Simples             ,Não       ,44.0,Masculino           
170,2017-01-01,RN,101.0,CEARA-MIRIM                                                 ,Falta de Atenção à Condução                                                                         ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Pleno dia           ,Céu Claro           ,Simples             ,Sim       ,55.0,Masculino           
170,2017-01-01,RN,101.0,CEARA-MIRIM                                                 ,Falta de Atenção à Condução                                                                         ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Pleno dia           ,Céu Claro           ,Simples             ,Sim       ,28.0,Feminino            
170,2017-01-01,RN,101.0,CEARA-MIRIM                                                 ,Falta de Atenção à Condução                                                                         ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Pleno dia           ,Céu Claro           ,Simples             ,Sim       ,31.0,Masculino           
170,2017-01-01,RN,101.0,CEARA-MIRIM                                                 ,Falta de Atenção à Condução                                                                         ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Pleno dia           ,Céu Claro           ,Simples             ,Sim       ,5.0,Masculino           
170,2017-01-01,RN,101.0,CEARA-MIRIM                                                 ,Falta de Atenção à Condução                                                                         ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Pleno dia           ,Céu Claro           ,Simples             ,Sim       ,7.0,Feminino            
213,2017-01-01,RN,304.0,MOSSORO                                                     ,Falta de Atenção à Condução                                                                         ,Engavetamento                                                                                                                                                                                           ,Sem Vítimas,Pleno dia           ,Céu Claro           ,Simples             ,Não       ,35.0,Masculino           
213,2017-01-01,RN,304.0,MOSSORO                                                     ,Falta de Atenção à Condução                                                                         ,Engavetamento                                                                                                                                                                                           ,Sem Vítimas,Pleno dia           ,Céu Claro           ,Simples             ,Não       ,63.0,Masculino           
