id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,idade,sexo
323919,01/01/2008,RN,101,NATAL,Falta de atenção,Colisão com objeto fixo,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,32.0,Masculino
324071,01/01/2008,RN,101,CEARA-MIRIM,Dormindo,Colisão com objeto fixo,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,22.0,Masculino
324135,01/01/2008,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,31.0,Feminino
324135,01/01/2008,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,37.0,Masculino
324163,01/01/2008,RN,427,JARDIM DO SERIDO,Defeito mecânico em veículo,Saída de Pista,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,39.0,Masculino
324265,02/01/2008,RN,304,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,30.0,Masculino
324265,02/01/2008,RN,304,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,51.0,Masculino
324309,02/01/2008,RN,101,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,61.0,Masculino
324309,02/01/2008,RN,101,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,43.0,Feminino
324407,01/01/2008,RN,101,EXTREMOZ,Outras,Colisão lateral,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Rural ,27.0,Masculino
324407,01/01/2008,RN,101,EXTREMOZ,Outras,Colisão lateral,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Rural ,32.0,Masculino
324422,02/01/2008,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Nublado,Múltipla,Urbano,38.0,Feminino
324422,02/01/2008,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Nublado,Múltipla,Urbano,27.0,Masculino
324482,02/01/2008,RN,101,NATAL,Outras,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,65.0,Feminino
324482,02/01/2008,RN,101,NATAL,Outras,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,20.0,Feminino
324491,02/01/2008,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,-1.0,Masculino
324491,02/01/2008,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,36.0,Masculino
324564,02/01/2008,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,32.0,Masculino
324564,02/01/2008,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,24.0,Masculino
324859,03/01/2008,RN,110,MOSSORO,Ultrapassagem indevida,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,30.0,Masculino
324859,03/01/2008,RN,110,MOSSORO,Ultrapassagem indevida,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,52.0,Masculino
324874,01/01/2008,RN,101,GOIANINHA,Falta de atenção,Colisão lateral,Sem Vítimas        ,Anoitecer,Sol,Simples ,Urbano,31.0,Masculino
324874,01/01/2008,RN,101,GOIANINHA,Falta de atenção,Colisão lateral,Sem Vítimas        ,Anoitecer,Sol,Simples ,Urbano,21.0,Masculino
324891,03/01/2008,RN,101,NATAL,Outras,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,43.0,Masculino
324891,03/01/2008,RN,101,NATAL,Outras,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,37.0,Masculino
325186,04/01/2008,RN,101,RIO DO FOGO,Outras,Capotamento,Com Vítimas Feridas,Pleno dia,Sol,Simples ,Rural ,57.0,Masculino
325186,04/01/2008,RN,101,RIO DO FOGO,Outras,Capotamento,Com Vítimas Feridas,Pleno dia,Sol,Simples ,Rural ,51.0,Feminino
325396,04/01/2008,RN,101,NATAL,Outras,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,-1.0,Não Informado
325396,04/01/2008,RN,101,NATAL,Outras,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,32.0,Feminino
325408,04/01/2008,RN,101,PARNAMIRIM,Outras,Colisão com bicicleta,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,24.0,Masculino
325408,04/01/2008,RN,101,PARNAMIRIM,Outras,Colisão com bicicleta,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,13.0,Não Informado
325416,04/01/2008,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,-1.0,Não Informado
325416,04/01/2008,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,24.0,Feminino
325416,04/01/2008,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,29.0,Masculino
325595,02/01/2008,RN,101,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,66.0,Masculino
325595,02/01/2008,RN,101,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,51.0,Masculino
325595,02/01/2008,RN,101,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,29.0,Masculino
325612,03/01/2008,RN,101,NATAL,Outras,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,23.0,Masculino
325612,03/01/2008,RN,101,NATAL,Outras,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,-1.0,Feminino
325627,01/01/2008,RN,101,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,44.0,Masculino
325627,01/01/2008,RN,101,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,24.0,Masculino
325627,01/01/2008,RN,101,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,35.0,Masculino
325645,05/01/2008,RN,101,SAO JOSE DE MIPIBU,Ultrapassagem indevida,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Sol,Simples ,Urbano,33.0,Masculino
325645,05/01/2008,RN,101,SAO JOSE DE MIPIBU,Ultrapassagem indevida,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Sol,Simples ,Urbano,27.0,Masculino
325647,05/01/2008,RN,101,PARNAMIRIM,Não guardar distância de segurança,Colisão lateral,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,37.0,Masculino
