id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,idade,sexo
602969,29/10/2009,RN,226,CAMPO REDONDO,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,29.0,Feminino
602969,29/10/2009,RN,226,CAMPO REDONDO,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,40.0,Masculino
603109,25/10/2009,RN,304,MACAIBA,Outras,Atropelamento de pessoa,Com Vítimas Fatais ,Anoitecer,Ceu Claro,Simples ,Rural ,-1.0,Inválido
603109,25/10/2009,RN,304,MACAIBA,Outras,Atropelamento de pessoa,Com Vítimas Fatais ,Anoitecer,Ceu Claro,Simples ,Rural ,27.0,Masculino
603118,29/10/2009,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,28.0,Masculino
603118,29/10/2009,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,34.0,Masculino
603144,29/10/2009,RN,427,JARDIM DO SERIDO,Dormindo,Saída de Pista,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Rural ,27.0,Masculino
603224,28/10/2009,RN,304,MACAIBA,Outras,Saída de Pista,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,34.0,Masculino
603226,27/10/2009,RN,101,NATAL,Não guardar distância de segurança,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,30.0,Masculino
603226,27/10/2009,RN,101,NATAL,Não guardar distância de segurança,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,27.0,Masculino
603229,30/10/2009,RN,226,CURRAIS NOVOS,Outras,Capotamento,Com Vítimas Fatais ,Plena noite,Ceu Claro,Simples ,Rural ,53.0,Masculino
603302,30/10/2009,RN,101,NATAL,Defeito mecânico em veículo,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Múltipla,Urbano,35.0,Masculino
603302,30/10/2009,RN,101,NATAL,Defeito mecânico em veículo,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Múltipla,Urbano,49.0,Masculino
603355,30/10/2009,RN,304,IPANGUACU,Outras,Saída de Pista,Sem Vítimas        ,Amanhecer,Ceu Claro,Simples ,Urbano,40.0,Masculino
603406,30/10/2009,RN,101,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,-1.0,Masculino
603406,30/10/2009,RN,101,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,50.0,Masculino
