id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_veiculo,estado_fisico,idade,sexo
1128638,24/06/2012,RN,101,EXTREMOZ,Ultrapassagem indevida,Colisão frontal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Rural ,Automóvel,Ferido Grave,-1.0,Feminino
1128638,24/06/2012,RN,101,EXTREMOZ,Ultrapassagem indevida,Colisão frontal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Rural ,Ônibus,Ileso       ,42.0,Masculino
1128778,25/06/2012,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Simples ,Urbano,Caminhonete,Ileso       ,32.0,Masculino
1128778,25/06/2012,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Simples ,Urbano,Automóvel,Ileso       ,65.0,Masculino
1128778,25/06/2012,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Simples ,Urbano,Caminhonete,Ileso       ,27.0,Masculino
1128782,21/06/2012,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Sem Vítimas        ,Amanhecer,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,47.0,Masculino
1128782,21/06/2012,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Sem Vítimas        ,Amanhecer,Chuva,Dupla   ,Urbano,Camioneta,Ileso       ,50.0,Masculino
1128873,25/06/2012,RN,304,SANTA MARIA,Outras,Capotamento,Sem Vítimas        ,Pleno dia,Chuva,Simples ,Rural ,Automóvel,Ileso       ,28.0,Masculino
1128873,25/06/2012,RN,304,SANTA MARIA,Outras,Capotamento,Sem Vítimas        ,Pleno dia,Chuva,Simples ,Rural ,Automóvel,Ileso       ,50.0,Feminino
1128958,25/06/2012,RN,101,PARNAMIRIM,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Nublado,Dupla   ,Urbano,Caminhão-Trator,Ileso       ,31.0,Masculino
