id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_envolvido,idade,sexo
173746,01/01/2007,RN,101,EXTREMOZ,Falta de atenção,Saída de Pista,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Rural ,Condutor,40.0,Masculino
173937,01/01/2007,RN,304,MACAIBA,Outras,Colisão com objeto móvel,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Rural ,Condutor,23.0,Masculino
173943,01/01/2007,RN,101,SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Dupla   ,Urbano,Condutor,-1.0,Masculino
173943,01/01/2007,RN,101,SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Dupla   ,Urbano,Condutor,-1.0,Masculino
173965,01/01/2007,RN,101,PARNAMIRIM,Ingestão de álcool,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Rural ,Condutor,32.0,Masculino
173965,01/01/2007,RN,101,PARNAMIRIM,Ingestão de álcool,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Rural ,Condutor,24.0,Masculino
173965,01/01/2007,RN,101,PARNAMIRIM,Ingestão de álcool,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Rural ,Condutor,28.0,Masculino
173991,01/01/2007,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,42.0,Masculino
173991,01/01/2007,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,33.0,Masculino
174009,01/01/2007,RN,101,EXTREMOZ,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,26.0,Masculino
174009,01/01/2007,RN,101,EXTREMOZ,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,21.0,Masculino
