id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_veiculo,estado_fisico,idade,sexo
830584,01/01/2011,RN,110,MOSSORO,Outras,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Múltipla,Urbano,Motocicletas,Ileso       ,23.0,Masculino
830584,01/01/2011,RN,110,MOSSORO,Outras,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Múltipla,Urbano,Caminhonete,Ileso       ,40.0,Masculino
830593,01/01/2011,RN,101,NATAL,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Rural ,Automóvel,Ileso       ,50.0,Masculino
830593,01/01/2011,RN,101,NATAL,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Rural ,Motocicletas,Ferido Leve ,28.0,Masculino
830608,01/01/2011,RN,304,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Camioneta,Ileso       ,49.0,Masculino
830608,01/01/2011,RN,304,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Automóvel,Ileso       ,28.0,Masculino
830697,01/01/2011,RN,405,SAO FRANCISCO DO OESTE,Falta de atenção,Capotamento,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Automóvel,Ileso       ,21.0,Masculino
830818,01/01/2011,RN,101,PARNAMIRIM,Outras,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,Motocicletas,Ferido Leve ,35.0,Masculino
830972,02/01/2011,RN,101,PARNAMIRIM,Ingestão de álcool,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Sol,Múltipla,Urbano,Automóvel,Ileso       ,19.0,Masculino
830972,02/01/2011,RN,101,PARNAMIRIM,Ingestão de álcool,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Sol,Múltipla,Urbano,(null),Ferido Leve ,38.0,Masculino
830972,02/01/2011,RN,101,PARNAMIRIM,Ingestão de álcool,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Sol,Múltipla,Urbano,(null),Ferido Leve ,42.0,Masculino
831052,02/01/2011,RN,101,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,Automóvel,Ileso       ,75.0,Masculino
831052,02/01/2011,RN,101,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,Automóvel,Ileso       ,-1.0,Masculino
831059,02/01/2011,RN,101,EXTREMOZ,Outras,Colisão Transversal,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,Automóvel,Ileso       ,-1.0,Masculino
831059,02/01/2011,RN,101,EXTREMOZ,Outras,Colisão Transversal,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,Automóvel,Ileso       ,25.0,Masculino
831202,02/01/2011,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Caminhonete,Ileso       ,49.0,Masculino
831202,02/01/2011,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Automóvel,Ileso       ,35.0,Masculino
831202,02/01/2011,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Automóvel,Ileso       ,37.0,Masculino
831202,02/01/2011,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Automóvel,Ileso       ,-1.0,Masculino
831202,02/01/2011,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Automóvel,Ileso       ,-1.0,Masculino
831224,02/01/2011,RN,304,MACAIBA,Outras,Colisão Transversal,Sem Vítimas        ,Anoitecer,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,25.0,Masculino
831224,02/01/2011,RN,304,MACAIBA,Outras,Colisão Transversal,Sem Vítimas        ,Anoitecer,Ceu Claro,Simples ,Urbano,Motocicletas,Ignorado    ,-1.0,Masculino
831345,02/01/2011,RN,101,CEARA-MIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,45.0,Masculino
831345,02/01/2011,RN,101,CEARA-MIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,63.0,Masculino
831377,01/01/2011,RN,226,NATAL,Ultrapassagem indevida,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,Automóvel,Ferido Leve ,-1.0,Feminino
831377,01/01/2011,RN,226,NATAL,Ultrapassagem indevida,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,Automóvel,Ferido Leve ,32.0,Masculino
831377,01/01/2011,RN,226,NATAL,Ultrapassagem indevida,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,Microônibus,Ileso       ,28.0,Masculino
831471,02/01/2011,RN,304,MOSSORO,Outras,Colisão lateral,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Automóvel,Ileso       ,43.0,Masculino
831471,02/01/2011,RN,304,MOSSORO,Outras,Colisão lateral,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Caminhão,Ignorado    ,-1.0,Inválido
831701,03/01/2011,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,38.0,Masculino
831701,03/01/2011,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,54.0,Masculino
831709,03/01/2011,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Automóvel,Ileso       ,27.0,Feminino
831709,03/01/2011,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Automóvel,Ileso       ,63.0,Masculino
831812,03/01/2011,RN,406,CEARA-MIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Automóvel,Ileso       ,53.0,Feminino
831812,03/01/2011,RN,406,CEARA-MIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Automóvel,Ileso       ,39.0,Masculino
831908,03/01/2011,RN,101,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Automóvel,Ileso       ,35.0,Feminino
831908,03/01/2011,RN,101,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Caminhão,Ileso       ,48.0,Masculino
832196,03/01/2011,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Caminhonete,Ileso       ,71.0,Masculino
832196,03/01/2011,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Automóvel,Ileso       ,26.0,Masculino
832196,03/01/2011,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Automóvel,Ileso       ,39.0,Feminino
832504,02/01/2011,RN,101,NATAL,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Motocicletas,Ferido Leve ,43.0,Masculino
832504,02/01/2011,RN,101,NATAL,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Automóvel,Ileso       ,21.0,Masculino
832504,02/01/2011,RN,101,NATAL,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Caminhonete,Ileso       ,53.0,Masculino
832504,02/01/2011,RN,101,NATAL,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,Motocicletas,Ferido Leve ,-1.0,Masculino
832529,04/01/2011,RN,226,FLORANIA,Falta de atenção,Capotamento,Sem Vítimas        ,Pleno dia,Nublado,Simples ,Rural ,Caminhonete,Ileso       ,-1.0,Masculino
832626,04/01/2011,RN,101,NATAL,Outras,Colisão frontal,Com Vítimas Feridas,Pleno dia,Nublado,Dupla   ,Rural ,Caminhonete,Ileso       ,45.0,Masculino
832626,04/01/2011,RN,101,NATAL,Outras,Colisão frontal,Com Vítimas Feridas,Pleno dia,Nublado,Dupla   ,Rural ,Caminhonete,Ferido Leve ,43.0,Feminino
832626,04/01/2011,RN,101,NATAL,Outras,Colisão frontal,Com Vítimas Feridas,Pleno dia,Nublado,Dupla   ,Rural ,Caminhão,Ileso       ,-1.0,Masculino
832626,04/01/2011,RN,101,NATAL,Outras,Colisão frontal,Com Vítimas Feridas,Pleno dia,Nublado,Dupla   ,Rural ,Caminhão,Ileso       ,26.0,Masculino
832647,04/01/2011,RN,101,NATAL,Outras,Colisão traseira,Sem Vítimas        ,Pleno dia,Nublado,Dupla   ,Urbano,Camioneta,Ileso       ,33.0,Masculino
832647,04/01/2011,RN,101,NATAL,Outras,Colisão traseira,Sem Vítimas        ,Pleno dia,Nublado,Dupla   ,Urbano,Automóvel,Ignorado    ,-1.0,Feminino
832672,04/01/2011,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Múltipla,Urbano,Automóvel,Ileso       ,36.0,Masculino
832672,04/01/2011,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Múltipla,Urbano,Automóvel,Ileso       ,24.0,Feminino
832714,03/01/2011,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Automóvel,Ileso       ,45.0,Masculino
832714,03/01/2011,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Caminhonete,Ileso       ,25.0,Masculino
832715,04/01/2011,RN,101,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Chuva,Dupla   ,Urbano,Caminhonete,Ileso       ,33.0,Masculino
832715,04/01/2011,RN,101,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,57.0,Masculino
832723,04/01/2011,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Nublado,Múltipla,Urbano,Automóvel,Ileso       ,60.0,Feminino
832723,04/01/2011,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Nublado,Múltipla,Urbano,Camioneta,Ileso       ,27.0,Masculino
832764,03/01/2011,RN,406,JOAO CAMARA,Outras,Capotamento,Ignorado           ,Plena noite,Ceu Claro,Simples ,Urbano,Automóvel,Ignorado    ,49.0,Masculino
832843,04/01/2011,RN,101,ARES,Outras,Saída de Pista,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Rural ,Automóvel,Ileso       ,49.0,Masculino
832852,04/01/2011,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Rural ,Automóvel,Ileso       ,28.0,Masculino
832852,04/01/2011,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Rural ,Caminhão,Ignorado    ,-1.0,Inválido
832858,04/01/2011,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Chuva,Múltipla,Urbano,Automóvel,Ileso       ,23.0,Masculino
832858,04/01/2011,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Chuva,Múltipla,Urbano,Automóvel,Ileso       ,43.0,Masculino
832858,04/01/2011,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Anoitecer,Chuva,Múltipla,Urbano,(null),(null),,
832867,04/01/2011,RN,226,CURRAIS NOVOS,Defeito mecânico em veículo,Capotamento,Com Vítimas Feridas,Pleno dia,Nublado,Simples ,Rural ,Automóvel,Ferido Leve ,41.0,Masculino
832867,04/01/2011,RN,226,CURRAIS NOVOS,Defeito mecânico em veículo,Capotamento,Com Vítimas Feridas,Pleno dia,Nublado,Simples ,Rural ,Automóvel,Ferido Leve ,9.0,Masculino
833051,05/01/2011,RN,304,MOSSORO,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Sol,Simples ,Rural ,Caminhão-Trator,Ileso       ,49.0,Masculino
833051,05/01/2011,RN,304,MOSSORO,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Sol,Simples ,Rural ,Automóvel,Ferido Leve ,30.0,Masculino
833128,02/01/2011,RN,304,MACAIBA,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,35.0,Masculino
