id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_veiculo,estado_fisico,idade,sexo
636569,01/01/2010,RN,101,PARNAMIRIM,Ingestão de álcool,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Amanhecer,Nublado,Dupla   ,Rural ,Motocicletas,Ferido Grave,31.0,Masculino
636569,01/01/2010,RN,101,PARNAMIRIM,Ingestão de álcool,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Amanhecer,Nublado,Dupla   ,Rural ,Motocicletas,Ferido Leve ,-1.0,Masculino
636765,02/01/2010,RN,101,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,Automóvel,Ileso       ,43.0,Feminino
636765,02/01/2010,RN,101,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,Caminhão,Ileso       ,27.0,Masculino
636790,02/01/2010,RN,101,NATAL,Falta de atenção,Colisão Transversal,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Automóvel,Ileso       ,26.0,Masculino
636790,02/01/2010,RN,101,NATAL,Falta de atenção,Colisão Transversal,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Automóvel,Ignorado    ,-1.0,Inválido
637070,03/01/2010,RN,101,RIO DO FOGO,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,Automóvel,Ferido Leve ,46.0,Masculino
637070,03/01/2010,RN,101,RIO DO FOGO,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,Caminhão,Ignorado    ,-1.0,Masculino
637074,03/01/2010,RN,101,NATAL,Outras,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,29.0,Feminino
637074,03/01/2010,RN,101,NATAL,Outras,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,48.0,Masculino
637074,03/01/2010,RN,101,NATAL,Outras,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,-1.0,Masculino
637100,03/01/2010,RN,101,NATAL,Outras,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,24.0,Feminino
637100,03/01/2010,RN,101,NATAL,Outras,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,28.0,Masculino
637267,03/01/2010,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Urbano,Ônibus,Ileso       ,58.0,Masculino
637267,03/01/2010,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,47.0,Feminino
637268,03/01/2010,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão frontal,Sem Vítimas        ,Anoitecer,Ceu Claro,Dupla   ,Urbano,Automóvel,Ileso       ,29.0,Masculino
637268,03/01/2010,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão frontal,Sem Vítimas        ,Anoitecer,Ceu Claro,Dupla   ,Urbano,Automóvel,Ignorado    ,-1.0,Inválido
637325,03/01/2010,RN,427,CURRAIS NOVOS,Falta de atenção,Capotamento,Com Vítimas Feridas,Anoitecer,Nevoeiro/neblina,Simples ,Rural ,Automóvel,Ileso       ,23.0,Masculino
637325,03/01/2010,RN,427,CURRAIS NOVOS,Falta de atenção,Capotamento,Com Vítimas Feridas,Anoitecer,Nevoeiro/neblina,Simples ,Rural ,Automóvel,Ferido Leve ,18.0,Feminino
637332,03/01/2010,RN,405,MOSSORO,Animais na Pista,Atropelamento de animal,Com Vítimas Fatais ,Plena noite,Nublado,Simples ,Rural ,Motocicletas,Morto       ,32.0,Masculino
637332,03/01/2010,RN,405,MOSSORO,Animais na Pista,Atropelamento de animal,Com Vítimas Fatais ,Plena noite,Nublado,Simples ,Rural ,Motocicletas,Ferido Leve ,21.0,Masculino
637374,03/01/2010,RN,304,ASSU,Outras,Colisão lateral,Com Vítimas Fatais ,Plena noite,Nublado,Simples ,Rural ,Motocicletas,Morto       ,39.0,Masculino
637374,03/01/2010,RN,304,ASSU,Outras,Colisão lateral,Com Vítimas Fatais ,Plena noite,Nublado,Simples ,Rural ,Não identificado,Ignorado    ,-1.0,Inválido
637409,03/01/2010,RN,304,ASSU,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Automóvel,Ileso       ,27.0,Feminino
637409,03/01/2010,RN,304,ASSU,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Automóvel,Ileso       ,29.0,Masculino
637507,04/01/2010,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Caminhonete,Ileso       ,19.0,Masculino
637507,04/01/2010,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Automóvel,Ileso       ,27.0,Masculino
637507,04/01/2010,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Automóvel,Ileso       ,25.0,Masculino
