id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
323919,01/01/2008,Terça,07:35:00,RN,101,84.7,NATAL,Falta de atenção,Colisão com objeto fixo,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2008,1,0,0,0,1,0,0,1
324071,01/01/2008,Terça,12:30:00,RN,101,53,CEARA-MIRIM,Dormindo,Colisão com objeto fixo,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,2008,1,0,1,0,0,0,1,1
324135,01/01/2008,Terça,16:00:00,RN,304,24.6,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Reta,Rural,2008,2,0,0,0,2,0,0,2
324163,01/01/2008,Terça,17:10:00,RN,427,63.2,JARDIM DO SERIDO,Defeito mecânico em veículo,Saída de Pista,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2008,1,0,1,0,0,0,1,1
324265,02/01/2008,Quarta,06:40:00,RN,304,307.1,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2008,2,0,0,0,2,0,0,2
324309,02/01/2008,Quarta,09:00:00,RN,101,99.6,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2008,2,0,0,0,2,0,0,2
324407,01/01/2008,Terça,18:10:00,RN,101,71,EXTREMOZ,Outras,Colisão lateral,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2008,2,0,0,0,2,0,0,2
324422,02/01/2008,Quarta,11:50:00,RN,101,94.3,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Nublado,Múltipla,Cruzamento,Urbano,2008,2,0,0,0,2,0,0,2
324482,02/01/2008,Quarta,15:00:00,RN,101,97.6,NATAL,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2008,2,0,0,0,2,0,0,2
324491,02/01/2008,Quarta,07:00:00,RN,101,84.9,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2008,2,0,0,0,2,0,0,2
