id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
83479953,08/07/16,Sexta,20:00:00,RN,427,26,ACARI,Ingestão de álcool,Colisão com bicicleta,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Urbano,2,0,0,1,0,1,1,2
83480094,09/07/16,Sábado,11:45:00,RN,101,129,SAO JOSE DE MIPIBU,Defeito na via,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Rural,2,0,2,0,0,0,2,1
83480102,09/07/16,Sábado,06:10:00,RN,304,"173,7",ANGICOS,Dormindo,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,3,0,0,2,1,0,2,2
83480107,08/07/16,Sexta,20:30:00,RN,304,"133,9",ANGICOS,Ingestão de álcool,Colisão frontal,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2,0,0,0,1,1,0,2
83480207,09/07/16,Sábado,19:25:00,RN,226,149,CURRAIS NOVOS,Animais na Pista,Atropelamento de animal,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,1,0,0,1,0,0,1,1
83480518,10/07/16,Domingo,17:02:00,RN,406,"103,8",JOAO CAMARA,Outras,Colisão Transversal,Com Vítimas Fatais,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,3,1,0,1,0,1,1,2
83480602,03/07/16,Domingo,17:40:00,RN,226,15,MACAIBA,Falta de atenção,Colisão frontal,Com Vítimas Feridas,Anoitecer,Decrescente,Ceu Claro,Simples,Reta,Urbano,2,0,0,1,1,0,1,2
83480623,08/07/16,Sexta,18:00:00,RN,101,"96,7",NATAL,Outras,Colisão traseira,Sem Vítimas,Anoitecer,Crescente,Ceu Claro,Dupla,Reta,Urbano,6,0,0,0,6,0,0,2
83480797,09/07/16,Sábado,18:40:00,RN,101,85,NATAL,Ingestão de álcool,Colisão com bicicleta,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Dupla,Curva,Urbano,2,0,1,0,1,0,1,2
83480833,11/07/16,Segunda,19:30:00,RN,226,83,TANGARA,Animais na Pista,Atropelamento de animal,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,1,0,1,0,0,0,1,1
83480883,27/01/16,Quarta,17:15:00,RN,101,104,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2,0,0,0,2,0,0,2
83480893,12/07/16,Terça,07:45:00,RN,101,86,NATAL,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2,0,1,0,1,0,1,2
83480997,12/07/16,Terça,11:55:00,RN,406,170,NATAL,Ingestão de álcool,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2,0,0,0,2,0,0,2
83481010,06/07/16,Quarta,06:55:00,RN,101,"99,9",NATAL,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Múltipla,Reta,Urbano,2,0,1,0,1,0,1,2
83481015,12/07/16,Terça,10:25:00,RN,101,"97,7",NATAL,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,4,0,1,0,3,0,1,4
83481083,12/07/16,Terça,20:05:00,RN,101,102,PARNAMIRIM,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Múltipla,Reta,Urbano,3,0,1,0,2,0,1,2
83481217,13/07/16,Quarta,12:05:00,RN,405,"20,6",MOSSORO,Outras,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,4,0,0,3,1,0,3,2
83481250,13/07/16,Quarta,11:30:00,RN,304,"40,2",MOSSORO,Outras,Colisão com bicicleta,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2,0,0,1,1,0,1,2
83481294,10/07/16,Domingo,23:55:00,RN,304,"46,1",MOSSORO,Desobediência à sinalização,Colisão frontal,Com Vítimas Fatais,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Urbano,4,2,0,0,2,0,0,2
83481303,09/07/16,Sábado,11:20:00,RN,304,269,SAO PEDRO,Velocidade incompatível,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Curva,Rural,3,0,2,0,1,0,2,1
83481427,02/07/16,Sábado,20:40:00,RN,304,"203,8",LAJES,Outras,Colisão lateral,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2,0,0,0,1,1,0,2
83481435,14/07/16,Quinta,08:13:00,RN,406,167,SAO GONCALO DO AMARANTE,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,3,0,0,2,1,0,2,2
83481513,14/07/16,Quinta,07:10:00,RN,101,"85,3",SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Amanhecer,Crescente,Ceu Claro,Dupla,Curva,Urbano,2,0,1,0,1,0,1,2
83481542,13/07/16,Quarta,12:50:00,RN,110,"8,3",AREIA BRANCA,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,5,0,2,1,2,0,3,2
83481608,14/07/16,Quinta,20:44:00,RN,101,80,SAO GONCALO DO AMARANTE,Ingestão de álcool,Colisão lateral,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Dupla,Curva,Urbano,2,0,0,0,2,0,0,2
83481759,11/07/16,Segunda,18:20:00,RN,304,"305,5",PARNAMIRIM,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Dupla,Reta,Urbano,3,0,2,0,1,0,2,2
83481771,15/07/16,Sexta,11:40:00,RN,304,36,MOSSORO,Falta de atenção,Colisão com bicicleta,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2,0,0,1,1,0,1,2
