id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
1035583,2012-01-01,Domingo,12:15:00,RN,110,45.4,MOSSORO,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2012,2,0,0,1,1,0,1,2
1035649,2012-01-01,Domingo,17:00:00,RN,304,292,MACAIBA,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Anoitecer,Crescente,Ceu Claro,Simples,Reta,Rural,2012,3,0,0,0,3,0,0,3
1035703,2012-01-01,Domingo,16:35:00,RN,304,293,MACAIBA,Dormindo,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,2012,1,0,1,0,0,0,1,1
1035888,2012-01-01,Domingo,22:35:00,RN,427,27.9,ACARI,Falta de atenção,Colisão Transversal,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Urbano,2012,2,0,0,0,2,0,0,2
1036019,2012-01-02,Segunda,06:50:00,RN,101,148.6,GOIANINHA,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Amanhecer,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2012,3,0,2,0,1,0,2,2
1036142,2012-01-01,Domingo,21:30:00,RN,304,178,ANGICOS,Animais na Pista,Atropelamento de animal,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2012,1,0,0,0,1,0,0,1
1036259,2012-01-01,Domingo,20:20:00,RN,101,74.1,EXTREMOZ,Animais na Pista,Atropelamento de animal,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,2012,1,0,0,0,1,0,0,1
1036267,2012-01-02,Segunda,09:15:00,RN,304,34.2,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Reta,Rural,2012,3,0,0,0,3,0,0,3
1036271,2012-01-02,Segunda,12:15:00,RN,101,95.5,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Sol,Múltipla,Reta,Urbano,2012,2,0,0,0,2,0,0,2
1036274,2012-01-02,Segunda,14:30:00,RN,304,25,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,2012,2,0,0,0,2,0,0,2
1036332,2012-01-02,Segunda,12:55:00,RN,304,35.5,MOSSORO,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Urbano,2012,3,0,2,0,1,0,2,2
1036334,2012-01-02,Segunda,10:00:00,RN,304,33.7,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Reta,Urbano,2012,2,0,0,0,2,0,0,2
1036413,2012-01-02,Segunda,07:00:00,RN,101,48.6,MAXARANGUAPE,Animais na Pista,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Urbano,2012,2,0,1,0,1,0,1,2
1036440,2012-01-02,Segunda,06:35:00,RN,101,106.2,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Cruzamento,Urbano,2012,2,0,0,0,2,0,0,2
1036534,2012-01-02,Segunda,08:00:00,RN,406,42,GUAMARE,Animais na Pista,Saída de Pista,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,2012,2,0,1,1,0,0,2,1
1036554,2012-01-02,Segunda,20:00:00,RN,101,124.6,SAO JOSE DE MIPIBU,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2012,2,0,0,2,0,0,2,1
1036612,2012-01-02,Segunda,08:30:00,RN,304,33.7,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2012,3,0,0,0,3,0,0,3
1036704,2012-01-02,Segunda,21:45:00,RN,101,83,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Vento,Dupla,Cruzamento,Urbano,2012,2,0,0,0,2,0,0,2
1036994,2012-01-03,Terça,11:40:00,RN,304,32.2,MOSSORO,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Reta,Urbano,2012,2,0,0,0,2,0,0,2
1037229,2012-01-03,Terça,16:00:00,RN,101,94.1,NATAL,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Cruzamento,Urbano,2012,3,0,0,0,3,0,0,3
1037241,2012-01-03,Terça,15:00:00,RN,101,95.4,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Múltipla,Reta,Urbano,2012,2,0,0,0,2,0,0,2
1037270,2012-01-03,Terça,19:50:00,RN,101,107.3,PARNAMIRIM,Falta de atenção,Colisão frontal,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Dupla,Cruzamento,Urbano,2012,2,0,0,0,2,0,0,2
1037308,2012-01-03,Terça,12:00:00,RN,101,99.9,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Cruzamento,Urbano,2012,2,0,0,0,2,0,0,2
1037316,2012-01-03,Terça,17:50:00,RN,101,101.8,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Anoitecer,Decrescente,Ceu Claro,Dupla,Cruzamento,Urbano,2012,2,0,0,0,2,0,0,2
