id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
1012643,29/10/2010,Sexta,18:40:00,RN,226,144.4,CAMPO REDONDO,Outras,Atropelamento de pessoa,Com Vítimas Fatais,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2010,2,1,0,0,0,1,0,1
1101599,24/06/2010,Quinta,17:30:00,RN,101,105.9,PARNAMIRIM,Não guardar distância de segurança,Colisão Transversal,Com Vítimas Feridas,Anoitecer,Crescente,Ceu Claro,Dupla,Cruzamento,Urbano,2010,3,0,1,1,0,1,2,2
1183899,26/12/2010,Domingo,22:50:00,RN,101,98.7,NATAL,Outras,Colisão traseira,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Dupla,Reta,Urbano,2010,3,0,1,0,2,0,1,2
1197650,16/12/2010,Quinta,15:30:00,RN,101,84.3,NATAL,Defeito mecânico em veículo,Colisão com objeto fixo,Sem Vítimas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Urbano,2010,1,0,0,0,1,0,0,1
1243263,12/10/2010,Terça,02:30:00,RN,226,3.0,NATAL,Outras,Capotamento,Ignorado,Plena noite,Decrescente,Ignorada,Simples,Curva,Urbano,2010,1,0,0,0,0,1,0,1
636569,01/01/2010,Sexta,04:15:00,RN,101,109.3,PARNAMIRIM,Ingestão de álcool,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Amanhecer,Crescente,Nublado,Dupla,Reta,Rural,2010,2,0,1,1,0,0,2,1
636765,02/01/2010,Sábado,16:45:00,RN,101,129.8,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,2010,2,0,0,0,2,0,0,2
636790,02/01/2010,Sábado,11:45:00,RN,101,81.9,NATAL,Falta de atenção,Colisão Transversal,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Cruzamento,Urbano,2010,2,0,0,0,1,1,0,2
637070,03/01/2010,Domingo,09:00:00,RN,101,16.2,RIO DO FOGO,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,2010,2,0,1,0,0,1,1,2
637074,03/01/2010,Domingo,12:20:00,RN,101,95.2,NATAL,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Reta,Urbano,2010,3,0,0,0,3,0,0,3
637100,03/01/2010,Domingo,13:15:00,RN,101,97.1,NATAL,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Reta,Urbano,2010,2,0,0,0,2,0,0,2
637267,03/01/2010,Domingo,06:30:00,RN,101,98.0,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Reta,Urbano,2010,2,0,0,0,2,0,0,2
637268,03/01/2010,Domingo,17:20:00,RN,101,101.8,PARNAMIRIM,Desobediência à sinalização,Colisão frontal,Sem Vítimas,Anoitecer,Crescente,Ceu Claro,Dupla,Cruzamento,Urbano,2010,2,0,0,0,1,1,0,2
637325,03/01/2010,Domingo,17:15:00,RN,427,5.6,CURRAIS NOVOS,Falta de atenção,Capotamento,Com Vítimas Feridas,Anoitecer,Decrescente,Nevoeiro/neblina,Simples,Curva,Rural,2010,2,0,1,0,1,0,1,1
637332,03/01/2010,Domingo,20:10:00,RN,405,8.4,MOSSORO,Animais na Pista,Atropelamento de animal,Com Vítimas Fatais,Plena noite,Decrescente,Nublado,Simples,Reta,Rural,2010,2,1,1,0,0,0,1,1
637374,03/01/2010,Domingo,20:15:00,RN,304,107.9,ASSU,Outras,Colisão lateral,Com Vítimas Fatais,Plena noite,Decrescente,Nublado,Simples,Curva,Rural,2010,2,1,0,0,0,1,0,2
637409,03/01/2010,Domingo,11:30:00,RN,304,116.9,ASSU,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,2010,2,0,0,0,2,0,0,2
637507,04/01/2010,Segunda,06:40:00,RN,101,94.3,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Cruzamento,Urbano,2010,3,0,0,0,3,0,0,3
637608,04/01/2010,Segunda,08:25:00,RN,101,159.5,CANGUARETAMA,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2010,2,0,0,0,2,0,0,2
637612,01/01/2010,Sexta,18:30:00,RN,406,140.0,TAIPU,Falta de atenção,Colisão com bicicleta,Com Vítimas Fatais,Anoitecer,Crescente,Ceu Claro,Dupla,Reta,Rural,2010,2,1,0,0,0,1,0,2
637653,04/01/2010,Segunda,11:20:00,RN,101,97.5,NATAL,Não guardar distância de segurança,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Múltipla,Reta,Urbano,2010,2,0,0,0,2,0,0,2
637726,04/01/2010,Segunda,12:50:00,RN,101,99.9,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2010,2,0,0,0,2,0,0,2
637736,04/01/2010,Segunda,12:50:00,RN,101,99.9,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Múltipla,Reta,Urbano,2010,3,0,0,0,3,0,0,3
638010,04/01/2010,Segunda,23:50:00,RN,101,96.6,NATAL,Defeito mecânico em veículo,Incêndio,Sem Vítimas,Plena noite,Crescente,Nublado,Simples,Reta,Urbano,2010,1,0,0,0,1,0,0,1
638073,03/01/2010,Domingo,06:30:00,RN,427,122.6,CAICO,Falta de atenção,Saída de Pista,Sem Vítimas,Amanhecer,Crescente,Sol,Simples,Curva,Urbano,2010,1,0,0,0,1,0,0,1
638082,05/01/2010,Terça,04:40:00,RN,101,123.8,SAO JOSE DE MIPIBU,Animais na Pista,Atropelamento de animal,Sem Vítimas,Amanhecer,Crescente,Ceu Claro,Simples,Reta,Urbano,2010,1,0,0,0,1,0,0,1
638143,05/01/2010,Terça,08:10:00,RN,101,101.0,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Múltipla,Reta,Urbano,2010,2,0,0,0,2,0,0,2
638281,05/01/2010,Terça,06:30:00,RN,101,101.9,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Cruzamento,Urbano,2010,3,0,0,0,3,0,0,3
638314,05/01/2010,Terça,09:20:00,RN,101,94.1,NATAL,Falta de atenção,Colisão Transversal,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Múltipla,Cruzamento,Urbano,2010,2,0,0,0,2,0,0,2
638408,05/01/2010,Terça,17:30:00,RN,101,81.6,NATAL,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Anoitecer,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2010,2,0,1,0,1,0,1,2
638464,05/01/2010,Terça,17:10:00,RN,101,96.4,NATAL,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2010,2,0,0,1,1,0,1,1
638472,05/01/2010,Terça,18:10:00,RN,101,99.7,NATAL,Falta de atenção,Colisão Transversal,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Dupla,Cruzamento,Urbano,2010,2,0,0,0,2,0,0,2
638494,05/01/2010,Terça,18:10:00,RN,110,45.1,MOSSORO,Outras,Colisão traseira,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,2010,2,0,1,0,0,1,1,2
638536,05/01/2010,Terça,16:35:00,RN,101,97.1,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2010,2,0,0,0,2,0,0,2
638538,05/01/2010,Terça,11:00:00,RN,101,95.7,NATAL,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Cruzamento,Urbano,2010,3,0,0,0,3,0,0,3
638542,05/01/2010,Terça,19:20:00,RN,101,95.7,NATAL,Outras,Colisão traseira,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Múltipla,Reta,Urbano,2010,4,0,0,0,4,0,0,4
638554,05/01/2010,Terça,13:50:00,RN,101,96.0,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Múltipla,Reta,Urbano,2010,2,0,0,0,2,0,0,2
638586,05/01/2010,Terça,18:20:00,RN,304,296.9,MACAIBA,Defeito mecânico em veículo,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2010,3,0,0,0,3,0,0,3
638604,05/01/2010,Terça,18:30:00,RN,101,84.0,NATAL,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Anoitecer,Crescente,Ceu Claro,Dupla,Curva,Urbano,2010,2,0,1,0,1,0,1,2
638629,05/01/2010,Terça,16:10:00,RN,101,99.6,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Dupla,Reta,Urbano,2010,4,0,0,0,4,0,0,4
638718,04/01/2010,Segunda,12:10:00,RN,101,99.7,NATAL,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Reta,Urbano,2010,3,0,0,1,2,0,1,2
638761,04/01/2010,Segunda,12:30:00,RN,101,99.7,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Dupla,Reta,Urbano,2010,3,0,0,0,3,0,0,3
638806,03/01/2010,Domingo,05:20:00,RN,304,305.1,PARNAMIRIM,Falta de atenção,Capotamento,Com Vítimas Feridas,Amanhecer,Crescente,Ceu Claro,Dupla,Reta,Rural,2010,1,0,0,1,0,0,1,1
638848,04/01/2010,Segunda,13:40:00,RN,101,97.9,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Dupla,Cruzamento,Urbano,2010,2,0,0,0,2,0,0,2
638978,02/01/2010,Sábado,08:30:00,RN,101,123.8,SAO JOSE DE MIPIBU,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Cruzamento,Urbano,2010,2,0,0,1,1,0,1,2
638991,06/01/2010,Quarta,16:00:00,RN,101,78.0,NATAL,Outras,Saída de Pista,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2010,1,0,0,0,1,0,0,1
639017,06/01/2010,Quarta,21:00:00,RN,101,85.5,SAO GONCALO DO AMARANTE,Defeito na via,Colisão com objeto fixo,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Dupla,Reta,Urbano,2010,1,0,0,1,0,0,1,1
639075,06/01/2010,Quarta,14:40:00,RN,101,107.0,PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2010,2,0,1,0,1,0,1,2
639225,03/01/2010,Domingo,16:40:00,RN,101,64.0,CEARA-MIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2010,3,0,0,0,2,1,0,3
639256,03/01/2010,Domingo,18:20:00,RN,101,64.0,CEARA-MIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2010,2,0,0,0,2,0,0,2
639285,07/01/2010,Quinta,09:00:00,RN,101,85.5,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2010,4,0,0,0,4,0,0,4
639317,03/01/2010,Domingo,23:00:00,RN,304,239.3,RIACHUELO,Outras,Capotamento,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2010,1,0,0,0,1,0,0,1
639343,03/01/2010,Domingo,15:15:00,RN,304,24.8,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Nevoeiro/neblina,Simples,Reta,Rural,2010,3,0,0,0,3,0,0,3
639355,07/01/2010,Quinta,07:40:00,RN,101,108.5,PARNAMIRIM,Outras,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Reta,Urbano,2010,3,0,0,1,2,0,1,3
639384,04/01/2010,Segunda,06:40:00,RN,101,101.6,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Dupla,Reta,Urbano,2010,2,0,0,0,2,0,0,2
639400,03/01/2010,Domingo,10:30:00,RN,304,30.0,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Chuva,Simples,Reta,Rural,2010,4,0,0,0,4,0,0,4
639408,01/01/2010,Sexta,16:40:00,RN,304,205.0,LAJES,Defeito mecânico em veículo,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Reta,Rural,2010,1,0,1,0,0,0,1,1
639441,07/01/2010,Quinta,14:30:00,RN,101,82.5,SAO GONCALO DO AMARANTE,Outras,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2010,2,0,0,0,2,0,0,2
639454,03/01/2010,Domingo,16:30:00,RN,101,63.9,EXTREMOZ,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2010,3,0,0,0,3,0,0,3
639497,03/01/2010,Domingo,19:20:00,RN,304,36.0,MOSSORO,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,2010,4,0,2,0,1,1,2,2
639514,07/01/2010,Quinta,18:20:00,RN,304,37.0,MOSSORO,Desobediência à sinalização,Colisão frontal,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,2010,2,0,0,0,2,0,0,2
639562,07/01/2010,Quinta,17:10:00,RN,304,37.2,MOSSORO,Falta de atenção,Colisão Transversal,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Urbano,2010,2,0,0,0,2,0,0,2
639663,07/01/2010,Quinta,12:15:00,RN,101,97.9,NATAL,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Cruzamento,Urbano,2010,2,0,0,1,1,0,1,2
639726,05/01/2010,Terça,19:00:00,RN,101,97.8,NATAL,Outras,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2010,2,0,0,0,2,0,0,2
