id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
83123368,2014-01-01,Quarta,08:15:00,RN,226,114.6,SANTA CRUZ,Outras,Capotamento,Ignorado,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,2014,2,0,0,0,0,2,0,1
83123402,2014-01-01,Quarta,06:30:00,RN,304,121.5,ITAJA,Outras,Saída de Pista,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Urbano,2014,5,0,2,0,3,0,2,1
83123411,2014-01-01,Quarta,10:49:00,RN,101,68.3,EXTREMOZ,Ingestão de álcool,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,2014,2,0,0,2,0,0,2,1
83123460,2014-01-01,Quarta,11:30:00,RN,427,2.7,CURRAIS NOVOS,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Urbano,2014,2,0,1,0,1,0,1,2
83123582,2014-01-01,Quarta,17:00:00,RN,304,43.1,MOSSORO,Falta de atenção,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Urbano,2014,2,0,2,0,0,0,2,1
83123584,2014-01-01,Quarta,14:40:00,RN,110,46.4,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2014,2,0,0,0,2,0,0,2
83123707,2014-01-01,Quarta,08:00:00,RN,101,148.8,GOIANINHA,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2014,2,0,0,0,2,0,0,2
83123848,2014-01-02,Quinta,08:15:00,RN,304,35.4,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Cruzamento,Urbano,2014,2,0,0,0,2,0,0,2
83123954,2014-01-02,Quinta,10:00:00,RN,226,118.5,SANTA CRUZ,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Curva,Rural,2014,5,0,1,1,3,0,2,2
83124141,2014-01-02,Quinta,14:40:00,RN,304,295.9,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2014,3,0,0,0,3,0,0,3
