id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
1000048,28/10/2011,Sexta,18:00:00,RN,101,98.5,NATAL,Desobediência à sinalização,Colisão lateral,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Múltipla,Reta,Urbano,2011,2,0,1,0,0,1,1,2
1000077,29/10/2011,Sábado,00:20:00,RN,101,99.8,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2011,2,0,0,0,2,0,0,2
1000110,24/10/2011,Segunda,18:15:00,RN,101,99.9,NATAL,Outras,Colisão lateral,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Dupla,Curva,Urbano,2011,2,0,0,0,2,0,0,2
1000113,28/10/2011,Sexta,12:10:00,RN,101,95.3,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Múltipla,Reta,Urbano,2011,3,0,0,0,3,0,0,3
1000128,28/10/2011,Sexta,21:50:00,RN,304,307.0,PARNAMIRIM,Outras,Colisão traseira,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2011,2,0,1,0,1,0,1,2
1000168,23/10/2011,Domingo,20:05:00,RN,304,45.0,MOSSORO,Ingestão de álcool,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Urbano,2011,1,0,0,1,0,0,1,1
1000234,29/10/2011,Sábado,07:10:00,RN,101,96.9,NATAL,Falta de atenção,Colisão Transversal,Sem Vítimas,Pleno dia,Crescente,Sol,Dupla,Cruzamento,Urbano,2011,2,0,0,0,2,0,0,2
1000240,29/10/2011,Sábado,08:15:00,RN,101,96.9,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Múltipla,Cruzamento,Urbano,2011,2,0,0,0,2,0,0,2
1000282,29/10/2011,Sábado,10:30:00,RN,101,99.8,NATAL,Outras,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Sol,Múltipla,Reta,Urbano,2011,2,0,0,0,2,0,0,2
1000346,29/10/2011,Sábado,08:00:00,RN,101,97.4,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2011,2,0,0,0,1,1,0,2
1000384,29/10/2011,Sábado,15:30:00,RN,226,189.0,CURRAIS NOVOS,Dormindo,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Curva,Urbano,2011,1,0,1,0,0,0,1,1
