id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
83298302,2015-01-01,Quinta,08:00:00,RN,406,149.0,CEARA-MIRIM,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2015,2,0,0,1,0,1,1,1
83298358,2015-01-01,Quinta,10:20:00,RN,101,122.0,SAO JOSE DE MIPIBU,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2015,2,0,0,0,2,0,0,2
83298395,2015-01-01,Quinta,12:14:00,RN,101,69.0,EXTREMOZ,Ingestão de álcool,Colisão com objeto fixo,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2015,1,0,0,0,1,0,0,1
83298398,2015-01-01,Quinta,10:30:00,RN,101,99.6,NATAL,Dormindo,Tombamento,Sem Vítimas,Pleno dia,Decrescente,Sol,Dupla,Reta,Urbano,2015,1,0,0,0,1,0,0,1
83298478,2015-01-01,Quinta,17:00:00,RN,101,161.0,CANGUARETAMA,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Anoitecer,Decrescente,Ceu Claro,Simples,Reta,Urbano,2015,3,0,0,2,0,1,2,2
83298529,2015-01-01,Quinta,18:30:00,RN,304,305.8,PARNAMIRIM,Ingestão de álcool,Atropelamento de pessoa,Com Vítimas Fatais,Plena noite,Crescente,Ceu Claro,Dupla,Reta,Urbano,2015,2,1,0,0,0,1,0,1
83298597,2015-01-02,Sexta,06:00:00,RN,226,138.1,CAMPO REDONDO,Animais na Pista,Atropelamento de animal,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2015,1,0,0,0,1,0,0,1
83298803,2015-01-02,Sexta,16:40:00,RN,101,0.0,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Múltipla,Cruzamento,Urbano,2015,2,0,0,0,2,0,0,2
83298892,2015-01-02,Sexta,20:15:00,RN,101,85.0,NATAL,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Plena noite,Decrescente,Vento,Dupla,Curva,Urbano,2015,2,0,1,0,1,0,1,2
83298946,2015-01-02,Sexta,14:15:00,RN,304,129.6,ITAJA,Outras,Saída de Pista,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Reta,Rural,2015,1,0,0,1,0,0,1,1
83298958,2015-01-02,Sexta,14:20:00,RN,304,113.9,ASSU,Outras,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Reta,Urbano,2015,3,0,2,0,1,0,2,2
83299109,2015-01-03,Sábado,12:30:00,RN,101,86.0,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2015,2,0,0,0,2,0,0,2
83299232,2015-01-03,Sábado,09:55:00,RN,304,106.4,ASSU,Outras,Colisão Transversal,Com Vítimas Fatais,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2015,3,1,0,1,0,1,1,2
83299244,2015-01-03,Sábado,18:30:00,RN,304,296.8,MACAIBA,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Cruzamento,Urbano,2015,3,0,1,1,0,1,2,2
83299285,2015-01-03,Sábado,19:15:00,RN,304,297.5,MACAIBA,Outras,Tombamento,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Dupla,Curva,Urbano,2015,1,0,0,1,0,0,1,1
83299341,2015-01-03,Sábado,11:50:00,RN,101,99.9,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Múltipla,Curva,Urbano,2015,2,0,0,0,2,0,0,2
83299352,2015-01-03,Sábado,19:20:00,RN,101,125.5,SAO JOSE DE MIPIBU,Outras,Colisão traseira,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Dupla,Cruzamento,Urbano,2015,2,0,0,0,2,0,0,2
83299725,2015-01-04,Domingo,14:05:00,RN,101,75.2,SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Dupla,Curva,Rural,2015,2,0,0,0,2,0,0,2
83299726,2015-01-04,Domingo,21:00:00,RN,406,165.9,SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2015,2,0,0,0,2,0,0,2
83299805,2015-01-04,Domingo,16:45:00,RN,101,81.1,SAO GONCALO DO AMARANTE,Outras,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Sol,Dupla,Reta,Urbano,2015,2,0,0,0,1,1,0,2
83299821,2015-01-04,Domingo,19:00:00,RN,304,296.0,MACAIBA,Dormindo,Colisão traseira,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2015,4,0,1,0,3,0,1,2
83299878,2015-01-05,Segunda,02:40:00,RN,304,157.9,FERNANDO PEDROZA,Falta de atenção,Colisão lateral,Com Vítimas Fatais,Plena noite,Decrescente,Ceu Claro,Simples,Curva,Rural,2015,3,1,1,0,1,0,1,2
83300060,2015-01-04,Domingo,15:30:00,RN,110,45.3,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Cruzamento,Urbano,2015,2,0,0,0,2,0,0,2
83300108,2015-01-05,Segunda,15:17:00,RN,226,0.3,NATAL,Outras,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Cruzamento,Urbano,2015,2,0,1,0,1,0,1,2
83300128,2015-01-05,Segunda,18:16:00,RN,101,99.0,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2015,2,0,0,0,2,0,0,2
83300144,2015-01-05,Segunda,17:05:00,RN,110,49.3,MOSSORO,Outras,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Múltipla,Cruzamento,Urbano,2015,2,0,1,0,0,1,1,2
83300157,2015-01-05,Segunda,10:55:00,RN,304,296.0,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Reta,Urbano,2015,2,0,0,0,2,0,0,2
83300213,2015-01-05,Segunda,22:40:00,RN,427,8.7,CURRAIS NOVOS,Dormindo,Colisão lateral,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2015,2,0,1,0,1,0,1,2
83300324,2015-01-02,Sexta,06:40:00,RN,101,107.0,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2015,3,0,0,0,3,0,0,3
83300366,2015-01-06,Terça,08:30:00,RN,406,135.0,TAIPU,Ingestão de álcool,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Curva,Rural,2015,2,0,0,1,1,0,1,2
83300397,2015-01-06,Terça,09:50:00,RN,304,22.3,MOSSORO,Animais na Pista,Atropelamento de animal,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2015,1,0,1,0,0,0,1,1
83300582,2015-01-06,Terça,20:30:00,RN,101,101.0,PARNAMIRIM,Velocidade incompatível,Colisão lateral,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Múltipla,Reta,Urbano,2015,2,0,0,0,2,0,0,2
83300594,2015-01-06,Terça,19:30:00,RN,101,64.6,CEARA-MIRIM,Desobediência à sinalização,Colisão frontal,Com Vítimas Fatais,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2015,7,1,5,1,0,0,6,2
83300635,2015-01-07,Quarta,02:30:00,RN,110,7.8,AREIA BRANCA,Animais na Pista,Atropelamento de animal,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2015,1,0,0,0,1,0,0,1
83300685,2015-01-07,Quarta,07:20:00,RN,101,84.2,SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2015,2,0,0,0,2,0,0,2
83300701,2015-01-07,Quarta,07:30:00,RN,405,3.1,MOSSORO,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Reta,Urbano,2015,2,0,1,0,1,0,1,2
83300761,2015-01-07,Quarta,08:30:00,RN,101,99.7,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Múltipla,Reta,Urbano,2015,2,0,0,0,2,0,0,2
83300778,2015-01-07,Quarta,07:40:00,RN,304,45.0,MOSSORO,Outras,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,Urbano,2015,3,0,2,0,0,1,2,2
83300823,2015-01-07,Quarta,13:00:00,RN,226,40.7,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Reta,Urbano,2015,2,0,0,0,2,0,0,2
83300907,2015-01-07,Quarta,18:10:00,RN,406,168.0,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão Transversal,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Urbano,2015,2,0,0,0,2,0,0,2
