id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
1229277,2013-01-01,Terça,18:00:00,RN,304,44.8,MOSSORO,Animais na Pista,Atropelamento de animal,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Dupla,Reta,Urbano,2013,1,0,1,0,0,0,1,1
1229368,2013-01-02,Quarta,01:20:00,RN,101,97.3,NATAL,Desobediência à sinalização,Colisão Transversal,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Múltipla,Cruzamento,Urbano,2013,2,0,0,0,2,0,0,2
1229383,2013-01-01,Terça,05:30:00,RN,101,95.0,NATAL,Velocidade incompatível,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Múltipla,Reta,Urbano,2013,2,0,0,0,2,0,0,2
1229476,2013-01-02,Quarta,09:15:00,RN,304,25.0,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Nublado,Simples,Reta,Urbano,2013,2,0,0,0,2,0,0,2
1229488,2013-01-02,Quarta,07:40:00,RN,226,4.6,NATAL,Outras,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2013,2,0,1,0,1,0,1,2
1229543,2013-01-01,Terça,15:10:00,RN,101,45.0,MAXARANGUAPE,Outras,Saída de Pista,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2013,2,0,0,0,1,1,0,2
1229678,2013-01-02,Quarta,13:50:00,RN,101,105.0,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2013,6,0,0,0,6,0,0,6
1229755,2013-01-02,Quarta,16:00:00,RN,101,103.3,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2013,2,0,0,0,2,0,0,2
1229790,2013-01-02,Quarta,13:25:00,RN,101,105.0,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Múltipla,Reta,Urbano,2013,2,0,0,0,2,0,0,2
1229870,2013-01-02,Quarta,11:05:00,RN,304,39.0,MOSSORO,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Urbano,2013,2,0,1,0,1,0,1,2
1229888,2013-01-02,Quarta,04:00:00,RN,304,166.9,ANGICOS,Animais na Pista,Atropelamento de animal,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2013,2,0,0,0,2,0,0,1
1229890,2013-01-02,Quarta,18:15:00,RN,101,109.5,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Dupla,Reta,Urbano,2013,2,0,0,0,2,0,0,2
1229941,2013-01-03,Quinta,01:35:00,RN,101,131.0,SAO JOSE DE MIPIBU,Outras,Saída de Pista,Com Vítimas Feridas,Plena noite,Decrescente,Nublado,Dupla,Reta,Rural,2013,2,0,1,0,1,0,1,1
1229979,2013-01-02,Quarta,15:30:00,RN,101,96.2,NATAL,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Urbano,2013,2,0,1,0,1,0,1,2
1230089,2013-01-03,Quinta,09:40:00,RN,304,295.5,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2013,2,0,0,0,2,0,0,2
