id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
263297,06/08/2007,Segunda,14:45:00,RN,226,104.8,SANTA CRUZ,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Chuva,Simples,Reta,Rural,2007,2,0,0,0,2,0,0,2
263409,04/08/2007,Sábado,04:55:00,RN,304,38.8,MOSSORO,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Amanhecer,Crescente,Ceu Claro,Simples,Reta,Urbano,2007,2,0,1,0,1,0,1,2
263444,07/08/2007,Terça,16:20:00,RN,101,85,NATAL,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Reta,Urbano,2007,2,0,1,0,1,0,1,2
263533,05/08/2007,Domingo,05:30:00,RN,101,102.3,PARNAMIRIM,Falta de atenção,Capotamento,Sem Vítimas,Amanhecer,Decrescente,Nublado,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
263534,02/08/2007,Quinta,20:30:00,RN,304,120.9,ITAJA,Animais na Pista,Colisão frontal,Com Vítimas Fatais,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2007,5,2,1,2,0,0,3,2
263544,08/08/2007,Quarta,07:30:00,RN,101,97.1,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Nublado,Múltipla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
263588,08/08/2007,Quarta,07:40:00,RN,101,85.7,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão lateral,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
263627,08/08/2007,Quarta,13:40:00,RN,304,0.9,MOSSORO,Desobediência à sinalização,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2007,2,0,0,0,2,0,0,2
263719,05/08/2007,Domingo,18:30:00,RN,406,161.8,CEARA-MIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Plena noite,Crescente,Nublado,Simples,Reta,Rural,2007,2,0,0,0,1,1,0,2
263735,04/08/2007,Sábado,04:45:00,RN,304,33.9,MOSSORO,Velocidade incompatível,Colisão traseira,Com Vítimas Feridas,Amanhecer,Crescente,Ceu Claro,Simples,Reta,Urbano,2007,3,0,1,0,1,1,1,3
263808,08/08/2007,Quarta,18:10:00,RN,110,46.3,MOSSORO,Falta de atenção,Colisão frontal,Com Vítimas Feridas,Anoitecer,Decrescente,Ceu Claro,Simples,Reta,Rural,2007,2,0,1,0,1,0,1,2
263836,03/08/2007,Sexta,19:45:00,RN,101,144.9,GOIANINHA,Outras,Colisão com bicicleta,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2007,3,0,0,2,1,0,2,2
263848,08/08/2007,Quarta,18:00:00,RN,110,46.4,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Urbano,2007,2,0,0,0,2,0,0,2
263869,08/08/2007,Quarta,09:55:00,RN,101,97.1,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Plena noite,Crescente,Nublado,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
264069,09/08/2007,Quinta,14:38:00,RN,101,143.7,ARES,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Nublado,Simples,Curva,Urbano,2007,2,0,0,0,2,0,0,2
264097,24/05/2007,Quinta,11:50:00,RN,101,104.1,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
264119,09/08/2007,Quinta,18:20:00,RN,101,107.3,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Anoitecer,Crescente,Chuva,Dupla,Cruzamento,Urbano,2007,2,0,0,0,2,0,0,2
264167,09/08/2007,Quinta,17:40:00,RN,101,96.7,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Anoitecer,Decrescente,Nublado,Múltipla,Reta,Urbano,2007,4,0,0,0,4,0,0,4
264173,09/08/2007,Quinta,12:45:00,RN,101,84.8,SAO GONCALO DO AMARANTE,Outras,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Sol,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
264176,04/08/2007,Sábado,13:30:00,RN,101,84.9,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2007,2,0,0,0,1,1,0,2
264266,08/08/2007,Quarta,15:50:00,RN,101,95.7,NATAL,Desobediência à sinalização,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Sol,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
264292,08/08/2007,Quarta,19:15:00,RN,101,94.3,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Plena noite,Crescente,Chuva,Múltipla,Cruzamento,Urbano,2007,2,0,0,0,2,0,0,2
264318,17/07/2007,Terça,15:40:00,RN,101,95.3,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Sol,Múltipla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
264393,10/08/2007,Sexta,11:00:00,RN,101,97.1,NATAL,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Nublado,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
